internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb
ROBOTCHASE,Robot Chase,/game/pc/robot-chase,55AKSMAvRhMsIZEQ3fV2C0qodmMjjpVmGNHcZUuqkzE%3D,1,190526,0.28,0.99,1,71.717172,0,,0,0,904550,1533081600,1685387948,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/904550/capsule_sm_120.jpg?t=1675278429
FLYINGSOUL,Flying Soul,,TTCUgSvHx%2BlHGRVG91wstwNt9ZTyj%2FUmdWItup97574%3D,1,190915,0.28,0.99,1,71.717172,0,,0,0,909270,0,1685386913,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/909270/capsule_sm_120.jpg?t=1608140433
NEEDFORSPIRITDRINKANDDRIVESIMULATOR,Need for Spirit: Drink and Drive Simulator,/game/pc/need-for-spirit-drink-drive-simulator,GBbTHoL%2FG5%2F9Z2%2B59LiN4FC5JkTZ3RhAG98Yw%2FQGIm4%3D,1,191731,0.28,0.99,1,71.717172,0,Mixed,57,90,924670,1536105600,1685410550,2.0,https://cdn.cloudflare.steamstatic.com/steam/apps/924670/capsule_sm_120.jpg?t=1659626271
DRIFTSTUNTRACING2019,Drift Stunt Racing 2019,/game/pc/drift-stunt-racing-2019,Q0vjZhY6Zc3QI%2FY0%2B0vK%2B94isFehWSwZY2JiqFR0I9I%3D,1,192676,0.28,0.99,1,71.717172,0,Mostly Positive,73,15,938600,1537920000,1685994800,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/938600/capsule_sm_120.jpg?t=1590647761
SUPERJETJUCK,Super Jet Juck,/game/pc/super-jet-juck,JJZMJwTvMSOiWZzvAZXHTBAou12TQm6V8B%2FxjzaAxIE%3D,1,195133,0.28,0.99,1,71.717172,0,Positive,81,11,774121,1542844800,1685989136,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/774121/capsule_sm_120.jpg?t=1684726466
AATOUCHGUN,AA Touch Gun!,/game/pc/aa-touch-gun!,aX3iKok%2BV5i4MfBGIMQ2QexZhRyoPlgUXun55rQdqaM%3D,1,195952,0.28,0.99,1,71.717172,0,,0,0,986320,1543968000,1685386862,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/986320/capsule_sm_120.jpg?t=1675277996
THENEDBALLS,THE NED BALLS,,C8EDLY6fOX85Ncl2QSRthGoFqvpjvTwYjvef6h2SMh4%3D,1,197427,0.28,0.99,1,71.717172,0,,0,0,999310,0,1685387702,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/999310/capsule_sm_120.jpg?t=1675277919
100,100,/game/pc/100,XsUiR0iRZ7rjRjW7%2BEkxr%2BQ2cEbw9nG1xK4hY4uncAM%3D,1,198065,0.28,0.99,1,71.717172,0,Very Positive,87,85,1016250,1548979200,1685566014,2.1,https://cdn.cloudflare.steamstatic.com/steam/apps/1016250/capsule_sm_120.jpg?t=1679508697
THROUGHABANDONEDTHEFOREST,Through Abandoned: The Forest,,A6ihnQV7rLK1%2FbHVXisMhifUX7J7p1H9hRi%2BqeRGMkQ%3D,1,198330,0.28,0.99,1,71.717172,0,Very Positive,80,228,513340,0,1686005795,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/513340/capsule_sm_120.jpg?t=1684543105
DARKSHINY,Dark Shiny,,qRedsEzovBqaO5odUA7hl57H5%2FSb39enqxj8dLP%2FOf8%3D,1,198506,0.28,0.99,1,71.717172,0,,0,0,987780,0,1685388106,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/987780/capsule_sm_120.jpg?t=1641200457
